"Freq","CATEGORY","PRIMARY_COM_NAME","SCI_NAME","ORDER1","FAMILY","SPECIES_GROUP"
7105,"species","American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
6911,"species","House Sparrow","Passer domesticus","Passeriformes","Passeridae (Old World Sparrows)","Old World Sparrows"
6430,"species","European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)","Starlings and Mynas"
5571,"species","Northern Cardinal","Cardinalis cardinalis","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
5352,"species","Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
5147,"species","White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
4415,"species","Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
4091,"species","Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
4047,"species","Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Catbirds, Mockingbirds, and Thrashers"
3298,"species","Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
3128,"species","Ruby-crowned Kinglet","Corthylio calendula","Passeriformes","Regulidae (Kinglets)","Kinglets"
2914,"species","Hermit Thrush","Catharus guttatus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
2683,"species","Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
2360,"species","Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae (Waxwings)","Waxwings"
2324,"species","Northern Parula","Setophaga americana","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
2310,"species","Song Sparrow","Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
2241,"species","Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
2212,"species","Ovenbird","Seiurus aurocapilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
2158,"species","Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
2140,"species","American Redstart","Setophaga ruticilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1973,"species","Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1893,"species","House Finch","Haemorhous mexicanus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1799,"species","Eastern Towhee","Pipilo erythrophthalmus","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1751,"species","Northern Waterthrush","Parkesia noveboracensis","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1731,"species","Black-throated Blue Warbler","Setophaga caerulescens","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1648,"species","Swamp Sparrow","Melospiza georgiana","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1578,"species","Yellow Warbler","Setophaga petechia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1543,"species","Magnolia Warbler","Setophaga magnolia","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1486,"species","American Goldfinch","Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1454,"species","American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
1425,"species","Palm Warbler","Setophaga palmarum","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1423,"species","Warbling Vireo","Vireo gilvus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
1337,"species","Blue-headed Vireo","Vireo solitarius","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
1229,"species","Veery","Catharus fuscescens","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
1190,"species","Blue-gray Gnatcatcher","Polioptila caerulea","Passeriformes","Polioptilidae (Gnatcatchers)","Gnatcatchers"
1122,"species","Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Catbirds, Mockingbirds, and Thrashers"
1110,"species","Wood Thrush","Hylocichla mustelina","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
1058,"species","House Wren","Troglodytes aedon","Passeriformes","Troglodytidae (Wrens)","Wrens"
1056,"species","Blackpoll Warbler","Setophaga striata","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1034,"species","Dark-eyed Junco","Junco hyemalis","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
998,"species","Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
988,"species","Brown Creeper","Certhia americana","Passeriformes","Certhiidae (Treecreepers)","Treecreepers"
981,"species","Barn Swallow","Hirundo rustica","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
940,"species","Black-throated Green Warbler","Setophaga virens","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
913,"species","Swainson's Thrush","Catharus ustulatus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
907,"species","Pine Warbler","Setophaga pinus","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
847,"species","Red-eyed Vireo","Vireo olivaceus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
798,"species","Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae (Kinglets)","Kinglets"
788,"species","Chestnut-sided Warbler","Setophaga pensylvanica","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
737,"species","Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
729,"species","Rose-breasted Grosbeak","Pheucticus ludovicianus","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
728,"species","Great Crested Flycatcher","Myiarchus crinitus","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
728,"species","Northern Rough-winged Swallow","Stelgidopteryx serripennis","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
716,"species","Nashville Warbler","Leiothlypis ruficapilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
608,"species","Scarlet Tanager","Piranga olivacea","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
580,"species","Louisiana Waterthrush","Parkesia motacilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
575,"species","Canada Warbler","Cardellina canadensis","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
573,"species","Prairie Warbler","Setophaga discolor","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
550,"species","Eastern Wood-Pewee","Contopus virens","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
467,"species","Blackburnian Warbler","Setophaga fusca","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
451,"species","Prothonotary Warbler","Protonotaria citrea","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
440,"species","Carolina Wren","Thryothorus ludovicianus","Passeriformes","Troglodytidae (Wrens)","Wrens"
424,"species","Fish Crow","Corvus ossifragus","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
424,"species","Wilson's Warbler","Cardellina pusilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
